Price;Neighbourhood Cleansed;City;Country;Property Type;Room Type;Accommodates;Bathrooms;Security Deposit;Cleaning Fee;Guests Included;Extra People;Amenities;Availability 365;Review Scores Rating
45.0;Castilla;Madrid;Spain;Apartment;Entire home/apt;2;1.0;150.0;20.0;1;10;1;268;89.0
100.0;Universidad;Madrid;Spain;Apartment;Entire home/apt;4;1.0;350.0;;2;10;0;156;100.0
55.0;Embajadores;Madrid;Spain;Apartment;Entire home/apt;3;1.0;100.0;20.0;2;8;0;132;
12.0;Puerta del Angel;Madrid;Spain;Apartment;Private room;1;1.0;;;1;5;0;365;75.0
80.0;Palacio;Madrid;Spain;Apartment;Entire home/apt;6;1.0;100.0;40.0;3;15;0;318;92.0
58.0;Palacio;Madrid;Spain;Apartment;Entire home/apt;2;1.0;200.0;30.0;2;15;0;187;99.0
71.0;Sol;Madrid;Spain;Apartment;Entire home/apt;4;1.0;80.0;30.0;2;10;0;318;91.0
21.0;Peñagrande;Madrid;Spain;House;Private room;2;1.0;150.0;;1;21;0;240;84.0
70.0;Almagro;Madrid;Spain;Apartment;Entire home/apt;4;1.0;200.0;20.0;2;15;0;157;98.0
90.0;Trafalgar;Madrid;Spain;Apartment;Entire home/apt;4;1.0;;;1;0;0;211;
139.0;Castillejos;Madrid;Spain;Apartment;Entire home/apt;3;1.0;300.0;20.0;2;15;1;358;98.0
120.0;Sutton;Sutton;United Kingdom;Apartment;Entire home/apt;2;1.0;;;1;0;0;25;100.0
18.0;Universidad;Madrid;Spain;Apartment;Private room;1;1.0;;;1;0;0;282;100.0
66.0;Luxembourg;Paris;France;Apartment;Entire home/apt;2;1.0;;20.0;1;0;0;186;97.0
32.0;Rios Rosas;Madrid;Spain;House;Private room;1;1.0;90.0;10.0;1;0;0;150;96.0
19.0;Guindalera;Madrid;Spain;Apartment;Private room;4;1.0;;;1;18;0;342;53.0
149.0;Palos de Moguer;Madrid;Spain;Dorm;Private room;1;0.0;;;1;75;0;365;
80.0;Cuatro Caminos;Madrid;Spain;Apartment;Entire home/apt;6;1.0;100.0;30.0;4;30;0;332;96.0
25.0;San Isidro;Madrid;Spain;Apartment;Private room;1;1.0;;10.0;1;0;0;89;
62.0;Guindalera;Madrid;Spain;Apartment;Entire home/apt;4;1.0;150.0;;1;0;0;86;
28.0;Arapiles;Madrid;Spain;Apartment;Private room;1;0.5;;;1;0;0;83;92.0
95.0;Sol;Madrid;Spain;House;Private room;1;1.0;150.0;;1;0;0;311;90.0
20.0;Embajadores;Madrid;Spain;Apartment;Private room;2;2.0;;15.0;1;5;0;281;
95.0;Almagro;Madrid;Spain;Apartment;Entire home/apt;2;1.0;;;1;0;0;352;100.0
25.0;Embajadores;Madrid;Spain;Apartment;Private room;2;4.0;;15.0;1;5;0;61;
50.0;Embajadores;Madrid;Spain;Apartment;Entire home/apt;5;1.0;;50.0;2;20;0;258;95.0
140.0;San Isidro;Madrid;Spain;House;Entire home/apt;6;2.0;;;1;0;0;0;
32.0;Costillares;Madrid;Spain;Apartment;Private room;2;1.0;;30.0;1;0;1;68;
17.0;Acacias;Madrid;Spain;Apartment;Private room;1;2.0;;;1;0;0;280;
105.0;Palacio;Madrid;Spain;House;Entire home/apt;6;1.0;100.0;;4;20;0;321;92.0
20.0;Lucero;Madrid;Spain;Apartment;Private room;2;1.0;;10.0;1;7;0;316;83.0
16.0;Palacio;Madrid;Spain;Hostel;Shared room;16;3.0;;;1;17;0;343;80.0
90.0;Palacio;Madrid;Spain;Apartment;Entire home/apt;4;1.0;250.0;40.0;2;15;0;73;97.0
38.0;el Raval;Barcelona;Spain;Apartment;Private room;2;1.0;;;1;0;0;0;83.0
40.0;Universidad;Madrid;Spain;Apartment;Entire home/apt;4;1.0;;20.0;2;5;0;287;90.0
35.0;Universidad;Madrid;Spain;Apartment;Private room;2;1.0;;;1;0;0;106;100.0
200.0;Argüelles;Madrid;Spain;Apartment;Entire home/apt;3;1.0;;;1;0;0;0;
49.0;Sol;Madrid;Spain;Apartment;Entire home/apt;4;1.0;;20.0;2;20;0;28;91.0
100.0;Castillejos;Madrid;Spain;Apartment;Entire home/apt;6;1.0;300.0;;4;20;1;272;98.0
110.0;Sol;Madrid;Spain;Apartment;Entire home/apt;5;1.0;;40.0;3;20;0;278;89.0
25.0;Trafalgar;Madrid;Spain;Apartment;Private room;2;1.0;;20.0;2;15;0;338;80.0
95.0;Cortes;Madrid;Spain;Apartment;Entire home/apt;4;1.0;130.0;50.0;2;10;0;347;
150.0;Embajadores;Madrid;Spain;Apartment;Entire home/apt;6;1.0;;60.0;4;20;0;208;90.0
47.0;Palma de Mallorca;Palma;Spain;Apartment;Entire home/apt;4;1.0;160.0;85.0;2;10;0;208;
42.0;Pinar del Rey;Madrid;Spain;Apartment;Private room;1;1.0;;;1;0;0;181;100.0
160.0;Oud-Oost;Amsterdam;Netherlands;Apartment;Entire home/apt;3;1.0;;60.0;2;0;0;0;86.0
60.0;Dublin City;Dublin;Ireland;Apartment;Private room;4;1.0;100.0;20.0;2;15;0;11;95.0
35.0;Goya;Madrid;Spain;Apartment;Private room;2;1.0;;;1;15;0;249;91.0
67.0;Arapiles;Madrid;Spain;Apartment;Private room;4;1.0;;;1;0;0;310;70.0
65.0;Palacio;Madrid;Spain;Apartment;Entire home/apt;3;1.0;80.0;;2;10;0;198;96.0
47.0;Embajadores;Madrid;Spain;Apartment;Entire home/apt;3;1.0;140.0;17.0;2;12;0;284;94.0
35.0;Universidad;Madrid;Spain;Apartment;Entire home/apt;2;1.0;;;1;0;0;0;20.0
23.0;Pacífico;Madrid;Spain;House;Private room;2;1.0;216.0;;1;0;0;84;
18.0;Ventas;Madrid;Spain;Apartment;Private room;1;1.0;150.0;;1;0;0;31;100.0
59.0;Gaztambide;Madrid;Spain;Apartment;Entire home/apt;2;1.0;;25.0;1;0;0;323;87.0
44.0;Universidad;Madrid;Spain;Bed & Breakfast;Private room;4;1.0;100.0;15.0;1;15;0;181;91.0
90.0;Cortes;Madrid;Spain;Apartment;Entire home/apt;2;1.0;200.0;;1;0;0;351;80.0
19.0;Goya;Madrid;Spain;Apartment;Private room;1;1.0;;5.0;1;0;0;74;100.0
57.0;Embajadores;Madrid;Spain;Apartment;Entire home/apt;4;1.0;200.0;40.0;2;20;0;268;90.0
15.0;Embajadores;Madrid;Spain;Apartment;Private room;1;1.0;;6.0;1;0;0;56;90.0
42.0;Sol;Madrid;Spain;Guesthouse;Private room;2;1.0;;;1;0;0;0;96.0
200.0;Palacio;Madrid;Spain;Apartment;Entire home/apt;6;3.0;;50.0;1;0;0;278;95.0
84.0;Palacio;Madrid;Spain;Apartment;Entire home/apt;4;1.0;100.0;25.0;2;10;0;141;87.0
80.0;Sol;Madrid;Spain;Apartment;Entire home/apt;2;1.0;;;1;0;0;95;99.0
68.0;San Isidro;Madrid;Spain;Apartment;Entire home/apt;6;2.0;200.0;15.0;4;18;1;255;97.0
45.0;Justicia;Madrid;Spain;Apartment;Entire home/apt;2;1.0;;6.0;2;5;0;341;74.0
90.0;Embajadores;Madrid;Spain;Apartment;Entire home/apt;3;1.0;;;1;0;0;0;100.0
86.0;Palacio;Madrid;Spain;Apartment;Entire home/apt;4;1.0;300.0;40.0;2;10;0;36;
40.0;Embajadores;Madrid;Spain;House;Private room;2;1.0;;15.0;1;15;0;103;92.0
29.0;Cortes;Madrid;Spain;Bed & Breakfast;Private room;2;1.0;;15.0;1;0;0;124;94.0
150.0;Prenzlauer Berg Süd;Berlin;Germany;Apartment;Private room;3;1.0;;;1;0;0;0;
31.0;Sol;Madrid;Spain;Apartment;Private room;1;2.0;200.0;30.0;1;0;0;295;
54.0;Cortes;Madrid;Spain;Apartment;Private room;6;2.0;;18.0;2;28;0;361;85.0
20.0;Sol;Madrid;Spain;Apartment;Private room;2;2.0;;15.0;1;0;0;281;90.0
70.0;Imperial;Madrid;Spain;Apartment;Entire home/apt;5;1.0;;30.0;1;0;0;31;90.0
80.0;Palma de Mallorca;Palma;Spain;Apartment;Entire home/apt;4;1.0;300.0;70.0;1;0;0;268;98.0
125.0;Santa Margalida;Santa Margalida;Spain;House;Entire home/apt;7;3.0;300.0;;1;0;0;300;93.0
30.0;Embajadores;Madrid;Spain;Apartment;Private room;2;1.0;;;1;10;0;305;95.0
60.0;Universidad;Madrid;Spain;Apartment;Entire home/apt;3;1.0;;25.0;1;10;0;173;
50.0;Palos de Moguer;Madrid;Spain;Apartment;Entire home/apt;4;1.0;150.0;20.0;2;10;0;292;64.0
60.0;Guindalera;Madrid;Spain;Apartment;Entire home/apt;2;1.0;;;1;0;0;261;100.0
75.0;Universidad;Madrid;Spain;Apartment;Entire home/apt;5;1.0;150.0;;1;0;0;199;78.0
59.0;Brunnenstr. Süd;Berlin;Germany;Apartment;Entire home/apt;3;1.0;;30.0;2;0;0;153;100.0
75.0;Universidad;Madrid;Spain;Apartment;Entire home/apt;4;1.0;200.0;35.0;2;15;0;301;96.0
27.0;Guindalera;Madrid;Spain;Apartment;Private room;1;1.0;;;1;0;0;0;98.0
39.0;San Isidro;Madrid;Spain;Other;Entire home/apt;5;1.0;300.0;20.0;2;10;0;140;96.0
45.0;Trafalgar;Madrid;Spain;Apartment;Entire home/apt;2;1.0;;;1;0;0;326;92.0
50.0;Recoletos;Madrid;Spain;Apartment;Private room;2;1.0;;;1;0;0;0;
30.0;Pacífico;Madrid;Spain;Apartment;Private room;3;1.0;;;1;7;0;311;90.0
